,P1,P2,P3,P4,P5,TOPSIS Score,Rank
M1,54,60.42,51.79,55.77,0.02,0.43927313778484595,2
M2,57,62.26,58.93,60.55,0.26,0.9462007096186503,5
M3,45,50.85,53.57,52.17,-0.17,0.019128534007976948,4
M4,60,66.67,66.67,66.67,0.15,0.747684389101558,1
M5,50,60.0,50.0,54.55,0.2,0.8233453782128722,3
